CODE,Lauren_says_minor,incident_group
1841,TRUE,Drugs/Alcohol
1842,TRUE,Drugs/Alcohol
1843,TRUE,Drugs/Alcohol
1844,TRUE,Drugs/Alcohol
1845,TRUE,Drugs/Alcohol
1846,TRUE,Drugs/Alcohol
1847,TRUE,Drugs/Alcohol
1848,TRUE,Drugs/Alcohol
1849,TRUE,Drugs/Alcohol
1850,TRUE,Drugs/Alcohol
1855,TRUE,Drugs/Alcohol
1858,TRUE,Drugs/Alcohol
1863,TRUE,Drugs/Alcohol
1864,TRUE,Drugs/Alcohol
1866,TRUE,Drugs/Alcohol
1868,TRUE,Drugs/Alcohol
1870,TRUE,Drugs/Alcohol
1873,TRUE,Drugs/Alcohol
1874,TRUE,Drugs/Alcohol
1875,FALSE,Drugs/Alcohol
1901,TRUE,Other
1902,TRUE,Other
1903,TRUE,Other
1904,TRUE,Other
1921,TRUE,Other
2003,FALSE,Child
2004,FALSE,Child
2005,FALSE,Child
2006,FALSE,Other
2007,FALSE,Other
2010,FALSE,Breaking/Entering
2101,FALSE,Drugs/Alcohol
2102,FALSE,Drugs/Alcohol
2201,TRUE,Drugs/Alcohol
2202,TRUE,Drugs/Alcohol
2204,TRUE,Drugs/Alcohol
2401,TRUE,Public Order
2403,TRUE,Public Order
2405,TRUE,Public Order
2407,TRUE,Public Order
2511,FALSE,Other
2602,FALSE,Fire
2604,FALSE,Other
2605,FALSE,Child
2606,FALSE,Other
2608,FALSE,Child
2609,TRUE,Drugs/Alcohol
2610,TRUE,Trespass
2611,FALSE,Other
2612,FALSE,Fire
2613,FALSE,Animal
2616,TRUE,Other
2617,FALSE,Other
2618,FALSE,Weapons
2619,FALSE,Other
2622,FALSE,Other
2623,TRUE,Other
2624,TRUE,Motor Vehicle
2628,TRUE,Harassment
2629,FALSE,Harassment
2631,TRUE,Other
2632,TRUE,Public Order
2633,FALSE,Other
2636,FALSE,Other
2641,TRUE,Public Order
2642,TRUE,Public Order
2646,TRUE,Public Order
2647,TRUE,Threat Bodily Harm
2648,FALSE,Weapons
2650,TRUE,Public Order
2651,TRUE,Public Order
2657,TRUE,Public Order
2658,TRUE,Public Order
2660,FALSE,Other
2662,FALSE,Weapons
2663,TRUE,Public Order
2664,FALSE,Child
2665,FALSE,Other
2667,FALSE,Other
2668,FALSE,Other
2670,FALSE,Harassment
2672,FALSE,Weapons
2801,TRUE,Public Order
2900,TRUE,Motor Vehicle
2901,TRUE,Motor Vehicle
2902,TRUE,Motor Vehicle
2903,TRUE,Motor Vehicle
2904,TRUE,Motor Vehicle
2905,TRUE,Motor Vehicle
2906,TRUE,Motor Vehicle
2907,TRUE,Motor Vehicle
2908,FALSE,Motor Vehicle
2909,TRUE,Motor Vehicle
2910,TRUE,Motor Vehicle
2911,TRUE,Motor Vehicle
2912,TRUE,Motor Vehicle
2913,TRUE,Motor Vehicle
2914,TRUE,Motor Vehicle
2915,TRUE,Motor Vehicle
2916,TRUE,Motor Vehicle
2917,TRUE,Motor Vehicle
3001,FALSE,Homicide
3002,FALSE,Animal
3004,FALSE,Other
3006,FALSE,Sick Assist
3007,FALSE,Other
3008,FALSE,Other
3009,FALSE,Other
3016,FALSE,Weapons
3017,FALSE,Weapons
3018,FALSE,Sick Assist
3021,FALSE,Sick Assist
3022,FALSE,Sick Assist
3023,FALSE,Sick Assist
3029,FALSE,Other
3040,FALSE,Other
3102,TRUE,Investigations
3106,TRUE,Other
3107,FALSE,Weapons
3108,FALSE,Fire
3109,TRUE,Investigations
3110,TRUE,Investigations
3111,TRUE,Public Order
3112,TRUE,Public Order
3114,TRUE,Investigations
3115,TRUE,Investigations
3116,TRUE,Other
3117,TRUE,Public Order
3119,FALSE,Weapons
3122,FALSE,Other
3123,FALSE,Weapons
3125,FALSE,Warrant
3130,FALSE,Warrant
3151,TRUE,Harassment
3152,TRUE,Investigations
3160,FALSE,Fire
3170,FALSE,Harassment
3201,TRUE,Property
3202,TRUE,Property
3203,FALSE,Weapons
3204,FALSE,Weapons
3205,TRUE,Motor Vehicle
3206,TRUE,Motor Vehicle
3207,TRUE,Property
3208,TRUE,Property
3209,TRUE,Property
3210,TRUE,Property
3301,TRUE,Verbal Dispute
3302,TRUE,Public Order
3303,TRUE,Public Order
3304,TRUE,Public Order
3305,TRUE,Public Order
3402,FALSE,Animal
3403,FALSE,Other
3404,FALSE,Other
3408,FALSE,Other
3410,TRUE,Motor Vehicle
3412,TRUE,Other
3414,FALSE,Other
3501,FALSE,Missing Person
3502,FALSE,Missing Person
3503,FALSE,Missing Person
3612,FALSE,Other
3620,TRUE,Investigations
3625,FALSE,Public Order
3701,FALSE,Motor Vehicle
3702,FALSE,Motor Vehicle
3704,FALSE,Motor Vehicle
3706,FALSE,Motor Vehicle
3709,FALSE,Motor Vehicle
3712,FALSE,Motor Vehicle
3801,FALSE,Motor Vehicle
3802,FALSE,Motor Vehicle
3803,FALSE,Motor Vehicle
3805,FALSE,Motor Vehicle
3807,FALSE,Motor Vehicle
3810,FALSE,Motor Vehicle
3811,FALSE,Motor Vehicle
3820,FALSE,Motor Vehicle
3821,FALSE,Motor Vehicle
3830,FALSE,Motor Vehicle
3831,FALSE,Motor Vehicle
3126,FALSE,Warrant
3005,FALSE,Sick Assist
641,FALSE,Breaking/Entering
1722,FALSE,Sex Crime
2671,FALSE,Harassment
736,FALSE,Motor Vehicle
